Year,Cause Name,State,State Code,Deaths,Age-adjusted Death Rate
2016,Unintentional injuries,Alabama,AL,2755,55.5
2016,Unintentional injuries,Alaska,AK,439,63.1
2016,Unintentional injuries,Arizona,AZ,4010,54.2
2016,Unintentional injuries,Arkansas,AR,1604,51.8
2016,Unintentional injuries,California,CA,13213,32
2016,Unintentional injuries,Colorado,CO,2880,51.2
2016,Unintentional injuries,Connecticut,CT,1978,50.3
2016,Unintentional injuries,Delaware,DE,516,52.4
2016,Unintentional injuries,District of Columbia,DC,401,58.3
2016,Unintentional injuries,Florida,FL,12561,54.9
2016,Unintentional injuries,Georgia,GA,4701,45.8
2016,Unintentional injuries,Hawaii,HI,577,35.3
2016,Unintentional injuries,Idaho,ID,849,49.5
2016,Unintentional injuries,Illinois,IL,5508,41
2016,Unintentional injuries,Indiana,IN,3496,51.6
2016,Unintentional injuries,Iowa,IA,1608,45.8
2016,Unintentional injuries,Kansas,KS,1444,45.7
2016,Unintentional injuries,Kentucky,KY,3194,71
2016,Unintentional injuries,Louisiana,LA,2710,57.4
2016,Unintentional injuries,Maine,ME,909,62.4
2016,Unintentional injuries,Maryland,MD,2271,35.7
2016,Unintentional injuries,Massachusetts,MA,3831,52.8
2016,Unintentional injuries,Michigan,MI,5313,50.5
2016,Unintentional injuries,Minnesota,MN,2697,43.8
2016,Unintentional injuries,Mississippi,MS,1803,59.2
2016,Unintentional injuries,Missouri,MO,3625,57
2016,Unintentional injuries,Montana,NE,626,54.1
2016,Unintentional injuries,Nebraska,NE,772,37
2016,Unintentional injuries,Nevada,NV,1395,46
2016,Unintentional injuries,New Hampshire,NH,924,66.6
2016,Unintentional injuries,New Jersey,NJ,3839,40.8
2016,Unintentional injuries,New Mexico,NM,1487,69.5
2016,Unintentional injuries,New York,NY,7354,34.2
2016,Unintentional injuries,North Carolina,NC,5476,52.2
2016,Unintentional injuries,North Dakota,ND,371,45.4
2016,Unintentional injuries,Ohio,OH,7999,66.6
2016,Unintentional injuries,Oklahoma,OK,2592,64.1
2016,Unintentional injuries,Oregon,OR,2105,46
2016,Unintentional injuries,Pennsylvania,PA,8410,61.8
2016,Unintentional injuries,Rhode Island,RI,675,56.6
2016,Unintentional injuries,South Carolina,SC,3012,58.9
2016,Unintentional injuries,South Dakota,SD,505,53.4
2016,Unintentional injuries,Tennessee,TN,4238,61.1
2016,Unintentional injuries,Texas,TX,10536,38.6
2016,Unintentional injuries,Utah,UT,1211,43.8
2016,Unintentional injuries,Vermont,VT,372,54.8
2016,Unintentional injuries,Virginia,VA,3710,42.4
2016,Unintentional injuries,Washington,WA,3221,41.4
2016,Unintentional injuries,West Virginia,WV,1705,89.7
2016,Unintentional injuries,Wisconsin,WI,3575,55.6
2016,Unintentional injuries,Wyoming,WY,371,61.9
2016,All causes,Alabama,AL,52466,920.4
2016,All causes,Alaska,AK,4494,745.6
2016,All causes,Arizona,AZ,56645,675.8
2016,All causes,Arkansas,AR,31756,893.2
2016,All causes,California,CA,262240,616.9
2016,All causes,Colorado,CO,37530,669.5
2016,All causes,Connecticut,CT,30543,654
2016,All causes,Delaware,DE,8874,746.2
2016,All causes,District of Columbia,DC,5037,766
2016,All causes,Florida,FL,197313,666.6
